Sensor,Physical Property,Measurement Unit,Time,Value
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T10:52:09Z,414
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T10:53:12Z,414
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T11:08:19Z,421
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T11:23:25Z,402
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T11:39:01Z,402
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T11:54:07Z,406
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T12:09:12Z,405
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T12:24:16Z,402
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T12:39:20Z,399
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T12:54:24Z,398
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T13:10:00Z,397
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T13:25:06Z,393
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T13:40:12Z,392
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T13:55:18Z,389
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T14:10:24Z,388
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T14:26:00Z,388
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T14:41:05Z,387
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T14:56:11Z,384
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T15:11:17Z,383
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T15:26:23Z,382
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T15:41:29Z,380
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T15:57:05Z,380
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T16:12:11Z,378
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T16:27:17Z,377
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T16:42:23Z,378
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T16:57:29Z,378
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T17:13:05Z,377
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T17:28:11Z,377
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T17:43:17Z,375
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T17:58:23Z,373
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T18:13:28Z,369
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T18:29:04Z,368
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T18:44:10Z,366
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T18:59:17Z,363
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T19:14:23Z,362
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T19:29:29Z,362
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T19:45:04Z,362
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T20:00:10Z,362
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T20:15:16Z,362
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T20:30:22Z,358
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T20:45:28Z,358
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T21:01:04Z,357
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T21:16:09Z,358
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T21:31:13Z,354
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T21:46:17Z,351
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T22:01:23Z,352
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T22:16:29Z,351
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T22:32:05Z,350
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T22:47:11Z,351
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T23:02:17Z,351
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T23:17:23Z,351
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T23:32:29Z,351
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-05T23:48:05Z,351
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T00:03:11Z,351
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T00:18:17Z,351
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T00:33:23Z,350
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T00:48:29Z,351
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T01:04:05Z,351
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T01:19:10Z,349
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T01:34:16Z,348
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T01:49:22Z,346
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T02:04:28Z,346
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T02:20:04Z,347
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T02:35:10Z,347
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T02:50:16Z,344
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T03:05:22Z,344
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T03:20:28Z,344
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T03:36:04Z,343
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T03:51:10Z,343
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T04:06:16Z,342
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T04:21:22Z,349
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T04:36:28Z,382
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T04:52:03Z,412
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T05:07:09Z,430
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T05:22:15Z,442
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T05:37:21Z,452
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T05:52:27Z,445
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T06:08:02Z,435
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T06:23:03Z,424
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T06:38:07Z,425
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T06:53:11Z,413
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T07:08:17Z,405
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T07:23:23Z,428
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T07:38:29Z,440
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T07:54:04Z,432
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T07:57:29Z,432
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T07:58:06Z,432
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T08:13:12Z,428
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T08:28:18Z,439
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T08:43:25Z,437
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T08:59:01Z,446
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T09:14:07Z,455
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T09:29:13Z,443
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T09:44:20Z,446
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T09:59:26Z,445
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T10:13:28Z,444
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T10:14:18Z,442
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T10:14:22Z,442
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T10:14:25Z,442
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T10:14:26Z,442
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T10:15:01Z,442
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T10:15:03Z,442
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T10:15:05Z,442
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T10:30:11Z,442
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T10:45:15Z,448
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T10:45:17Z,448
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T10:45:26Z,448
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T10:46:00Z,448
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T10:46:03Z,448
S43_C1_M,Carbon Dioxide,Parts Per Million,2021-07-06T10:46:05Z,448
S43_C1_M,Humidity,Relative,2021-07-05T10:52:09Z,50.5
S43_C1_M,Humidity,Relative,2021-07-05T10:53:12Z,50.5
S43_C1_M,Humidity,Relative,2021-07-05T11:08:19Z,50
S43_C1_M,Humidity,Relative,2021-07-05T11:23:25Z,49.5
S43_C1_M,Humidity,Relative,2021-07-05T11:39:01Z,49.5
S43_C1_M,Humidity,Relative,2021-07-05T11:54:07Z,50
S43_C1_M,Humidity,Relative,2021-07-05T12:09:12Z,50
S43_C1_M,Humidity,Relative,2021-07-05T12:24:16Z,50
S43_C1_M,Humidity,Relative,2021-07-05T12:39:20Z,50
S43_C1_M,Humidity,Relative,2021-07-05T12:54:24Z,50.5
S43_C1_M,Humidity,Relative,2021-07-05T13:10:00Z,50.5
S43_C1_M,Humidity,Relative,2021-07-05T13:25:06Z,50.5
S43_C1_M,Humidity,Relative,2021-07-05T13:40:12Z,51
S43_C1_M,Humidity,Relative,2021-07-05T13:55:18Z,51
S43_C1_M,Humidity,Relative,2021-07-05T14:10:24Z,51
S43_C1_M,Humidity,Relative,2021-07-05T14:26:00Z,51.5
S43_C1_M,Humidity,Relative,2021-07-05T14:41:05Z,51.5
S43_C1_M,Humidity,Relative,2021-07-05T14:56:11Z,51.5
S43_C1_M,Humidity,Relative,2021-07-05T15:11:17Z,51.5
S43_C1_M,Humidity,Relative,2021-07-05T15:26:23Z,51.5
S43_C1_M,Humidity,Relative,2021-07-05T15:41:29Z,52
S43_C1_M,Humidity,Relative,2021-07-05T15:57:05Z,52
S43_C1_M,Humidity,Relative,2021-07-05T16:12:11Z,52
S43_C1_M,Humidity,Relative,2021-07-05T16:27:17Z,52.5
S43_C1_M,Humidity,Relative,2021-07-05T16:42:23Z,52.5
S43_C1_M,Humidity,Relative,2021-07-05T16:57:29Z,53
S43_C1_M,Humidity,Relative,2021-07-05T17:13:05Z,53
S43_C1_M,Humidity,Relative,2021-07-05T17:28:11Z,53
S43_C1_M,Humidity,Relative,2021-07-05T17:43:17Z,53.5
S43_C1_M,Humidity,Relative,2021-07-05T17:58:23Z,53.5
S43_C1_M,Humidity,Relative,2021-07-05T18:13:28Z,53.5
S43_C1_M,Humidity,Relative,2021-07-05T18:29:04Z,54
S43_C1_M,Humidity,Relative,2021-07-05T18:44:10Z,54
S43_C1_M,Humidity,Relative,2021-07-05T18:59:17Z,54
S43_C1_M,Humidity,Relative,2021-07-05T19:14:23Z,54.5
S43_C1_M,Humidity,Relative,2021-07-05T19:29:29Z,54.5
S43_C1_M,Humidity,Relative,2021-07-05T19:45:04Z,54.5
S43_C1_M,Humidity,Relative,2021-07-05T20:00:10Z,54.5
S43_C1_M,Humidity,Relative,2021-07-05T20:15:16Z,54.5
S43_C1_M,Humidity,Relative,2021-07-05T20:30:22Z,55
S43_C1_M,Humidity,Relative,2021-07-05T20:45:28Z,55
S43_C1_M,Humidity,Relative,2021-07-05T21:01:04Z,55
S43_C1_M,Humidity,Relative,2021-07-05T21:16:09Z,55
S43_C1_M,Humidity,Relative,2021-07-05T21:31:13Z,55
S43_C1_M,Humidity,Relative,2021-07-05T21:46:17Z,55.5
S43_C1_M,Humidity,Relative,2021-07-05T22:01:23Z,55.5
S43_C1_M,Humidity,Relative,2021-07-05T22:16:29Z,55.5
S43_C1_M,Humidity,Relative,2021-07-05T22:32:05Z,55.5
S43_C1_M,Humidity,Relative,2021-07-05T22:47:11Z,55.5
S43_C1_M,Humidity,Relative,2021-07-05T23:02:17Z,55.5
S43_C1_M,Humidity,Relative,2021-07-05T23:17:23Z,55.5
S43_C1_M,Humidity,Relative,2021-07-05T23:32:29Z,55.5
S43_C1_M,Humidity,Relative,2021-07-05T23:48:05Z,55.5
S43_C1_M,Humidity,Relative,2021-07-06T00:03:11Z,55.5
S43_C1_M,Humidity,Relative,2021-07-06T00:18:17Z,55.5
S43_C1_M,Humidity,Relative,2021-07-06T00:33:23Z,55.5
S43_C1_M,Humidity,Relative,2021-07-06T00:48:29Z,56
S43_C1_M,Humidity,Relative,2021-07-06T01:04:05Z,56
S43_C1_M,Humidity,Relative,2021-07-06T01:19:10Z,56
S43_C1_M,Humidity,Relative,2021-07-06T01:34:16Z,56
S43_C1_M,Humidity,Relative,2021-07-06T01:49:22Z,56
S43_C1_M,Humidity,Relative,2021-07-06T02:04:28Z,56
S43_C1_M,Humidity,Relative,2021-07-06T02:20:04Z,56
S43_C1_M,Humidity,Relative,2021-07-06T02:35:10Z,56
S43_C1_M,Humidity,Relative,2021-07-06T02:50:16Z,56
S43_C1_M,Humidity,Relative,2021-07-06T03:05:22Z,56
S43_C1_M,Humidity,Relative,2021-07-06T03:20:28Z,56
S43_C1_M,Humidity,Relative,2021-07-06T03:36:04Z,56
S43_C1_M,Humidity,Relative,2021-07-06T03:51:10Z,56
S43_C1_M,Humidity,Relative,2021-07-06T04:06:16Z,56
S43_C1_M,Humidity,Relative,2021-07-06T04:21:22Z,54
S43_C1_M,Humidity,Relative,2021-07-06T04:36:28Z,56.5
S43_C1_M,Humidity,Relative,2021-07-06T04:52:03Z,59.5
S43_C1_M,Humidity,Relative,2021-07-06T05:07:09Z,60.5
S43_C1_M,Humidity,Relative,2021-07-06T05:22:15Z,60
S43_C1_M,Humidity,Relative,2021-07-06T05:37:21Z,60
S43_C1_M,Humidity,Relative,2021-07-06T05:52:27Z,60
S43_C1_M,Humidity,Relative,2021-07-06T06:08:02Z,60.5
S43_C1_M,Humidity,Relative,2021-07-06T06:23:03Z,61
S43_C1_M,Humidity,Relative,2021-07-06T06:38:07Z,61
S43_C1_M,Humidity,Relative,2021-07-06T06:53:11Z,61
S43_C1_M,Humidity,Relative,2021-07-06T07:08:17Z,61.5
S43_C1_M,Humidity,Relative,2021-07-06T07:23:23Z,62
S43_C1_M,Humidity,Relative,2021-07-06T07:38:29Z,62
S43_C1_M,Humidity,Relative,2021-07-06T07:54:04Z,61.5
S43_C1_M,Humidity,Relative,2021-07-06T07:57:29Z,61.5
S43_C1_M,Humidity,Relative,2021-07-06T07:58:06Z,61
S43_C1_M,Humidity,Relative,2021-07-06T08:13:12Z,59
S43_C1_M,Humidity,Relative,2021-07-06T08:28:18Z,57.5
S43_C1_M,Humidity,Relative,2021-07-06T08:43:25Z,52
S43_C1_M,Humidity,Relative,2021-07-06T08:59:01Z,47
S43_C1_M,Humidity,Relative,2021-07-06T09:14:07Z,44.5
S43_C1_M,Humidity,Relative,2021-07-06T09:29:13Z,45.5
S43_C1_M,Humidity,Relative,2021-07-06T09:44:20Z,45
S43_C1_M,Humidity,Relative,2021-07-06T09:59:26Z,44.5
S43_C1_M,Humidity,Relative,2021-07-06T10:13:28Z,46
S43_C1_M,Humidity,Relative,2021-07-06T10:14:18Z,46
S43_C1_M,Humidity,Relative,2021-07-06T10:14:22Z,46
S43_C1_M,Humidity,Relative,2021-07-06T10:14:25Z,46
S43_C1_M,Humidity,Relative,2021-07-06T10:14:26Z,46
S43_C1_M,Humidity,Relative,2021-07-06T10:15:01Z,46
S43_C1_M,Humidity,Relative,2021-07-06T10:15:03Z,46
S43_C1_M,Humidity,Relative,2021-07-06T10:15:05Z,46
S43_C1_M,Humidity,Relative,2021-07-06T10:30:11Z,47
S43_C1_M,Humidity,Relative,2021-07-06T10:45:15Z,47
S43_C1_M,Humidity,Relative,2021-07-06T10:45:17Z,47
S43_C1_M,Humidity,Relative,2021-07-06T10:45:26Z,47
S43_C1_M,Humidity,Relative,2021-07-06T10:46:00Z,47
S43_C1_M,Humidity,Relative,2021-07-06T10:46:03Z,47
S43_C1_M,Humidity,Relative,2021-07-06T10:46:05Z,47
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T10:52:09Z,930
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T10:53:12Z,930
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T11:08:19Z,1142
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T11:23:25Z,1231
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T11:39:01Z,1262
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T11:54:07Z,1297
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T12:09:12Z,1334
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T12:24:16Z,1317
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T12:39:20Z,1465
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T12:54:24Z,1478
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T13:10:00Z,1513
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T13:25:06Z,1468
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T13:40:12Z,1501
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T13:55:18Z,1483
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T14:10:24Z,1434
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T14:26:00Z,1488
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T14:41:05Z,1459
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T14:56:11Z,1415
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T15:11:17Z,1441
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T15:26:23Z,1380
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T15:41:29Z,1418
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T15:57:05Z,1388
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T16:12:11Z,1345
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T16:27:17Z,1371
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T16:42:23Z,1338
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T16:57:29Z,1377
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T17:13:05Z,1339
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T17:28:11Z,1265
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T17:43:17Z,1286
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T17:58:23Z,1246
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T18:13:28Z,1304
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T18:29:04Z,1233
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T18:44:10Z,1258
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T18:59:17Z,1172
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T19:14:23Z,1164
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T19:29:29Z,1195
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T19:45:04Z,1152
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T20:00:10Z,1177
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T20:15:16Z,1145
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T20:30:22Z,1070
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T20:45:28Z,1125
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T21:01:04Z,1129
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T21:16:09Z,1092
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T21:31:13Z,1086
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T21:46:17Z,1028
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T22:01:23Z,995
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T22:16:29Z,1043
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T22:32:05Z,1000
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T22:47:11Z,1006
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T23:02:17Z,1012
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T23:17:23Z,1032
